Device Make,Device Model,Popular
DoCoMo,SH-06D,0
DoCoMo,SH-07A,0
DoCoMo,SH-07B,1
DoCoMo,SH-08A,0
DoCoMo,SH-08B,1
DoCoMo,SH-08C,0
DoCoMo,SH-09B,0
DoCoMo,SH-09C,0
DoCoMo,SH-11C,0
DoCoMo,SH700i,0
DoCoMo,SH700iS,0
DoCoMo,SH704i,0
DoCoMo,SH705i,0
DoCoMo,SH705iII,0
DoCoMo,SH706i,0
DoCoMo,SH706ie,0
DoCoMo,SH706iw,0
DoCoMo,SH851i,0
DoCoMo,SH901iC,0
DoCoMo,SH901iS,0
DoCoMo,SH905i,1
DoCoMo,SH905iTV,0
DoCoMo,SH906i,1
DoCoMo,SH906iTV,0
DoCoMo,Simulator II,0
DoCoMo,SO-01D,0
DoCoMo,SO-02D,0
DoCoMo,SO-03D,0
DoCoMo,SO704i,0
DoCoMo,SO705i,0
DoCoMo,SO706i,0
DoCoMo,SO905i,0
DoCoMo,SO905iCS,1
DoCoMo,SO906i,1
DoCoMo,T-01D,1
Dopod,585,0
Dopod,810,0
Dopod,838,0
Dopod,838Pro,0
Dopod,900,0
Dopod,A3288,0
Dopod,A6288,0
Dopod,C500,0
Dopod,C720W,0
Dopod,C730,0
Dopod,C800/Herald/Wing/Atlas,0
Dopod,D600,0
Dopod,D805,0
Dopod,D818c,0
Dopod,M700,0
Dopod,P660,0
Dopod,P800W,0
Dopod,P860/Beacon,0
Dopod,Prophet,0
Dopod,S1,0
Dopod,S300,0
Dopod,S500/HTC Vogue 200,0
Dopod,S700,0
Dopod,S710,0
Dopod,S900,0
Dopod,T2222/Viva,0
Dopod,U1000,0
Dynamax,DNP-725,0
Easypix,Easypad 1370,0
EDL,C888/Nucleus,0
Eken,M009F,0
Eken,T01A,0
Eken,T02A,0
Elocity,A7,0
Elocity,A7-004,0
Elonex,eTouch 1000ET,0
Elonex,Etouch 765ET,0
Elson,EL370,0
Elson,EL490,0
Emobile,GS02,0
Emobile,S11HT,0
Emobile,S12HT/EMonster Lite (S12HT),0
Emobile,S21HT,0
Emobile,S31HW,0
Enspert,E201,0
Era,G1,0
ERA,G2 Touch,0
Ericsson,T68,0
Eton,T800,0
eTouch,D11,0
eTouch,D33,0
eTouch,D35,0
eTouch,MB68,0
eTouch,X88,0
EZIO,SX200,0
Ezze,8352RC,0
Ezze,E300,0
Ezze,HG7000,0
Ezze,MM60,0
Fly,2040,0
Fly,2040i,0
Fly,2040L,0
Fly,B400,0
Fly,B720 Duo (Dual sim card),0
Fly,DS150,0
Fly,DS155,0
Fly,DS170,0
Fly,DS185,0
Fly,DS186,0
Fly,DS400,0
Fly,DS500,0
Fly,E105,0
